,XLI US Equity,XLK US Equity,XLV US Equity,FXU US Equity,XTN US Equity,FXN US Equity,PSCC US Equity,ENFR US Equity,BIZD US Equity,DBB US Equity,SHY US Equity
23/7/2020 4:00,72.64,109.33,106.75,27.43,55.12,6.76,75.25,14.0422,11.82,14.47,86.57
23/7/2020 21:30,72.67,109.3,107.28,27.4,54.88,6.755,75.25,13.94,11.92,14.5501,86.57
23/7/2020 22:00,72.55,108.98,107.22,27.48,54.92,6.72,75.25,13.86,11.83,14.54,86.57
23/7/2020 22:30,72.5864,108.9,107.2,27.45,55,6.7295,75.25,13.86,11.785,14.5942,86.57
23/7/2020 23:00,72.81,109.03,107.34,27.51,55.2,6.73,75.25,13.86,11.8001,14.59,86.56
23/7/2020 23:30,72.92,108.85,107.265,27.57,55.43,6.77,75.25,13.86,11.783,14.61,86.56
24/7/2020 0:00,72.97,108.08,107.2,27.595,55.59,6.79,75.6562,13.86,11.815,14.595,86.565
24/7/2020 0:30,72.84,107.83,107.21,27.583,55.63,6.775,75.6562,13.86,11.83,14.595,86.565
24/7/2020 1:00,72.85,107.63,106.92,27.55,55.56,6.78,75.7789,13.86,11.83,14.63,86.565
24/7/2020 1:30,72.62,106.97,106.71,27.53,55.13,6.72,75.7789,13.86,11.78,14.605,86.57
24/7/2020 2:00,72.32,106.5,106.39,27.4,55.03,6.7,75.7789,13.85,11.74,14.57,86.565
24/7/2020 2:30,72.47,106.7,106.53,27.42,55.28,6.72,75.7789,13.85,11.78,14.555,86.57
24/7/2020 3:00,72.3,106.34,106.29,27.415,55.16,6.715,75.7789,13.85,11.7307,14.565,86.57
24/7/2020 3:30,72.42,106.49,106.27,27.44,55.21,6.75,75.7789,13.98,11.84,14.54,86.57
24/7/2020 4:00,72.42,106.49,106.27,27.44,55.21,6.75,75.3994,13.98,11.84,14.54,86.57
24/7/2020 21:30,72.535,104.42,105.4,27.52,54.775,6.735,75.3994,13.93,11.7,14.42,86.57
24/7/2020 22:00,72.44,105.17,105.15,27.4802,54.9414,6.743,75.3994,13.93,11.69,14.5,86.5765
24/7/2020 22:30,72.37,105.67,105.11,27.4314,55.12,6.75,75.3994,13.93,11.6601,14.49,86.57
24/7/2020 23:00,72.06,105.82,105.06,27.327,54.9701,6.7,75.3994,13.9016,11.65,14.42,86.575
24/7/2020 23:30,71.975,105.71,105.03,27.3,54.8877,6.71,75.3994,13.9016,11.63,14.42,86.575
25/7/2020 0:00,72.02,105.345,104.92,27.31,54.8877,6.711,75.3994,13.9016,11.64,14.43,86.56
25/7/2020 0:30,71.925,104.94,104.79,27.26,54.89,6.7163,75.3994,13.8907,11.62,14.4328,86.565
25/7/2020 1:00,71.86,104.95,104.77,27.18,54.89,6.6931,75.3994,13.8309,11.6199,14.42,86.565
25/7/2020 1:30,71.8,105.32,104.78,27.17,54.68,6.6901,75.3994,13.87,11.62,14.43,86.565
25/7/2020 2:00,71.95,105.645,105.13,27.2015,54.62,6.72,75.3994,13.8881,11.6101,14.41,86.56
25/7/2020 2:30,71.825,105.27,105.03,27.23,54.69,6.71,75.3994,13.8546,11.61,14.44,86.565
25/7/2020 3:00,71.73,104.99,104.85,27.16,54.605,6.69,74.19,13.8546,11.62,14.435,86.565
25/7/2020 3:30,71.84,105.25,105.1,27.25,54.68,6.68,74.15,13.8374,11.6125,14.45,86.58
25/7/2020 4:00,71.84,105.2,105.1,27.25,54.6743,6.68,74.121,13.8594,11.6125,14.45,86.58
27/7/2020 21:30,71.95,106.5,105.82,26.93,55.03,6.67,74.68,13.76,11.59,14.5,86.57
27/7/2020 22:00,72.22,106.22,106.015,26.7822,55.03,6.71,74.68,13.7856,11.595,14.4895,86.565
27/7/2020 22:30,72.07,106.42,105.89,26.85,55.1499,6.69,74.68,13.7856,11.59,14.53,86.57
27/7/2020 23:00,71.995,105.94,105.71,26.9,54.875,6.64,74.575,13.755,11.6044,14.53,86.57
27/7/2020 23:30,72.01,106.12,105.611,26.9,54.9059,6.595,74.575,13.755,11.59,14.53,86.565
28/7/2020 0:00,72.115,106.165,105.779,26.87,54.855,6.615,74.5729,13.755,11.5699,14.5522,86.565
28/7/2020 0:30,72.07,106.44,105.785,26.86,54.83,6.63,74.5729,13.724,11.5253,14.54,86.56
28/7/2020 1:00,72.01,106.625,105.96,26.9007,54.7921,6.645,74.46,13.724,11.54,14.539,86.55
28/7/2020 1:30,72.01,106.6,105.86,26.96,54.81,6.6489,74.74,13.724,11.5,14.54,86.555
28/7/2020 2:00,71.93,106.8,105.81,26.88,54.795,6.64,74.74,13.724,11.52,14.555,86.5543
28/7/2020 2:30,71.88,106.53,105.71,26.8189,54.791,6.63,74.74,13.724,11.47,14.55,86.555
28/7/2020 3:00,72.045,106.915,105.955,26.81,54.84,6.64,74.74,13.7357,11.47,14.56,86.56
28/7/2020 3:30,72.12,106.86,105.94,26.9,54.891,6.65,74.74,13.7357,11.48,14.53,86.55
28/7/2020 4:00,72.14,106.86,105.89,26.9,54.9543,6.65,74.74,13.7262,11.48,14.53,86.55
28/7/2020 21:30,71.85,105.95,105.661,27.1,54.7296,6.6,74.74,13.77,11.5,14.595,86.58
28/7/2020 22:00,71.9,106.228,106.36,27.271,54.81,6.63,74.74,13.8,11.5,14.59,86.58
28/7/2020 22:30,71.895,106.41,106.14,27.33,54.531,6.625,74.74,13.795,11.46,14.63,86.58
28/7/2020 23:00,72,106.39,106.075,27.43,54.531,6.58,74.74,13.8001,11.5,14.63,86.58
28/7/2020 23:30,72.038,106.34,106.28,27.37,54.5903,6.585,74.74,13.8,11.5144,14.67,86.575
29/7/2020 0:00,72.03,106.39,106.11,27.29,54.5837,6.54,74.74,13.8,11.54,14.67,86.58
29/7/2020 0:30,72.075,106.56,106.14,27.27,54.591,6.575,74.74,13.8,11.56,14.7,86.575
29/7/2020 1:00,72.011,106.62,106.24,27.345,54.76,6.56,74.74,13.8,11.545,14.68,86.575
29/7/2020 1:30,72.17,106.765,106.28,27.37,54.76,6.55,74.74,13.8,11.5621,14.6827,86.575
29/7/2020 2:00,72.04,106.42,106.19,27.32,54.76,6.5501,74.74,13.755,11.5601,14.69,86.575
29/7/2020 2:30,72.03,106.34,106.25,27.42,54.78,6.55,74.74,13.75,11.5835,14.685,86.57
29/7/2020 3:00,71.8793,105.91,106.05,27.35,54.6955,6.5101,74.74,13.75,11.5434,14.6314,86.575
29/7/2020 3:30,71.64,105.61,105.76,27.26,54.6955,6.5,74.74,13.7391,11.6,14.67,86.57
29/7/2020 4:00,71.64,105.61,105.77,27.26,54.3662,6.5,74.74,13.7226,11.6,14.67,86.57
29/7/2020 21:30,72.085,106.33,106.498,27.33,54.9301,6.535,74.74,13.7226,11.509,14.665,86.575
