,XLI US Equity,XLK US Equity,XLV US Equity,FXU US Equity,XTN US Equity,FXN US Equity,PSCC US Equity,ENFR US Equity,BIZD US Equity,DBB US Equity,SHY US Equity,UNP US Equity,UPS US Equity,CSX US Equity,FDX US Equity,NSC US Equity,LUV US Equity,DAL US Equity,ODFL US Equity,KSU US Equity,EXPD US Equity,CHRW US Equity,JBHT US Equity,UAL US Equity,AAL US Equity,ALK US Equity
2/10/2020 2:00,76.63,117.67,105.045,26.4104,58.16,5.535,73.2991,12.255,11.99,14.635,86.46,193.55,167.94,76.79,255.505,211.995,37.63,30.895,182.35,179.39,89.41,101.105,124.98,34.92,12.535,36.78
2/10/2020 2:30,76.74,118.08,105.15,26.4912,58.34,5.52,74.0636,12.235,12.03,14.68,86.47,194.63,167.53,77.05,254.63,212.81,37.4999,30.81,182.72,179.55,89.445,101.395,125.33,34.8105,12.485,36.61
2/10/2020 3:00,76.5,117.63,104.755,26.475,58.383,5.4939,74.0466,12.205,12.06,14.67,86.455,193.93,166.96,76.75,253.84,211.58,37.62,30.83,182.29,179.04,89.125,101.07,124.97,34.89,12.49,36.58
2/10/2020 3:30,76.75,117.93,105.12,26.58,58.43,5.52,74.0466,12.25,12.03,14.7,86.45,194.3,167.65,76.86,254.08,211.81,37.925,31.095,182.78,179.44,89.29,101.22,125.21,35.18,12.58,36.91
2/10/2020 4:00,76.75,117.93,105.12,26.58,58.43,5.52,74.2639,12.25,12.03,14.7,86.45,194.23,167.65,76.86,254.08,211.85,37.93,31.1,182.77,179.45,89.29,101.22,125.21,35.18,12.58,36.91
2/10/2020 21:30,76.38,116.23,104.77,26.2889,57.8999,5.47,74.2639,12.08,11.905,14.9,86.45,194.46,166.16,76.625,255.1,210.85,36.7778,30.13,183.48,180.73,89.25,100.6,126.46,34.465,12.35,35.7
2/10/2020 22:00,76.67,116.85,104.47,26.53,58.0429,5.53,74.2639,12.1,11.945,14.9651,86.45,194.995,166.82,76.8,256.057,210.9,37.31,30.51,184.17,182.29,89.315,100.69,126.771,34.5799,12.35,36.105
2/10/2020 22:30,76.74,116.47,104.3,26.67,58.1416,5.52,73.5836,12.1091,11.9399,14.92,86.45,195.815,166.825,76.96,257.66,212.24,37.39,30.35,184.3,182.45,89.44,101.31,126.48,34.2,12.295,35.97
2/10/2020 23:00,77.26,116.06,104.36,26.7403,58.3113,5.6,73.5836,12.23,11.965,14.965,86.445,196.69,166.905,77.52,257.48,214.21,37.64,30.495,185.05,183.645,89.76,101.485,126.975,34.6,12.325,36.32
2/10/2020 23:30,76.89,115.03,103.83,26.7155,58.31,5.62,73.5836,12.27,12,15,86.445,196.62,166.05,77.26,255.33,213.76,37.49,30.46,185.12,182.37,89.15,100.93,126.36,34.52,12.275,36.16
3/10/2020 0:00,77.815,115.74,104.62,26.76,59.55,5.63,73.5836,12.336,12.04,14.957,86.445,197.86,167.67,77.545,257.74,215.09,38.8701,31.83,186.39,182.3,89.505,101.04,127.29,36.22,13.12,38
3/10/2020 0:30,77.93,115.71,104.8,26.86,59.54,5.64,73.5836,12.3793,12.0771,14.931,86.445,197.6,168.03,77.58,257.155,214.26,38.62,31.81,186.435,180.59,89.7,100.83,127.14,35.79,12.88,37.7501
3/10/2020 1:00,77.89,115.66,105.135,26.96,59.315,5.66,73.5836,12.4204,12.07,14.94,86.45,197.7,167.795,77.44,257.06,213.985,38.56,31.625,186.77,180.22,89.78,101.13,127.77,35.5799,12.83,37.5694
3/10/2020 1:30,77.51,115.37,104.7,26.94,58.9171,5.62,74.2421,12.3901,12.05,14.91,86.455,197.25,166.885,77.05,256.236,213.25,38.343,31.39,186.2,179.675,89.65,101.025,127,35.3189,12.675,37.1304
3/10/2020 2:00,77.82,115.6,104.94,27.04,59.253,5.63,74.2421,12.395,12.119,14.88,86.455,197.22,166.8,77.185,256.2,213.41,38.585,31.59,186.16,180.35,89.5,101.005,127.84,35.6499,12.83,37.33
3/10/2020 2:30,77.82,115.55,104.86,27.0321,59.2499,5.63,74.5257,12.4001,12.11,14.8899,86.45,197.69,166.48,77.47,256.13,213.4,38.62,31.665,185.45,180.375,89.88,101.075,128.24,35.79,12.8599,37.295
3/10/2020 3:00,77.77,115.35,104.665,27.03,59.22,5.64,74.6643,12.4,12.116,14.8899,86.455,196.98,167.11,77.27,256.1,213.235,38.66,31.7455,184.785,179.865,89.86,100.98,127.915,35.98,12.9,37.36
3/10/2020 3:30,77.56,114.83,104.16,26.97,59.385,5.62,74.6643,12.42,12.11,14.88,86.46,196.49,166.89,77.15,255.57,212.84,38.74,31.74,184.54,180.93,89.65,100.87,127.49,36.01,13,37.52
3/10/2020 4:00,77.61,114.94,104.16,26.97,59.3752,5.62,74.8459,12.42,12.11,14.881,86.46,196.35,166.96,77.15,255.2,212.66,38.76,31.75,184.56,180.92,89.65,100.87,127.49,36.01,13,37.52
5/10/2020 21:30,78.56,116.28,105.17,27.013,59.785,5.7419,75.196,12.6,12.16,14.91,86.441,198.92,167.95,77.7,259.945,215.3,38.46,31.69,187.79,180.36,90.885,103.55,130.635,35.66,12.82,37.19
5/10/2020 22:00,78.68,116.65,105.62,26.9999,59.8831,5.73,75.1397,12.505,12.13,14.95,86.43,198.92,168.39,77.6,259.46,215.06,38.39,31.87,187.5,180.695,90.855,103.32,130.72,35.8699,12.84,37.42
5/10/2020 22:30,78.89,116.69,105.8,27.14,60,5.79,75.0125,12.45,12.18,14.94,86.431,199.749,168.53,77.795,258.9,215.89,38.51,31.85,187.475,180.981,90.87,103.46,130.69,35.88,12.895,37.355
5/10/2020 23:00,78.71,116.81,106.02,27.2,60,5.79,75.0125,12.45,12.17,14.93,86.431,199.565,168.48,77.68,258.4,215.44,38.3394,31.78,187.051,181.852,91,103.29,129.765,35.9048,12.895,37.3889
5/10/2020 23:30,78.67,116.8,106,27.23,59.62,5.815,75.0125,12.6066,12.1414,14.93,86.43,199.715,168.55,77.72,258.644,215.39,38.46,31.76,187.54,181.045,90.88,103.32,130.07,35.8999,12.92,37.31
6/10/2020 0:00,78.59,116.96,106.02,27.2267,59.75,5.8,75.0125,12.61,12.145,14.93,86.44,199.74,169.31,77.52,259.538,214.96,38.4861,31.83,188.09,179.72,90.8006,103.59,130.19,36.04,12.9618,37.25
6/10/2020 0:30,78.7,116.99,106.05,27.2267,59.75,5.801,75.0125,12.6145,12.13,14.95,86.43,199.95,169.68,77.5,259.84,215.01,38.4,31.815,189.36,180.5,90.825,103.61,130.59,36.02,12.955,37.27
6/10/2020 1:00,78.715,116.85,105.95,27.2199,59.845,5.82,75.0125,12.6,12.12,14.96,86.43,200.99,169.627,77.58,259.48,215.505,38.5,31.864,188.89,180.93,90.75,103.6,130.53,36.06,12.965,37.35
6/10/2020 1:30,78.5684,116.56,105.795,27.2059,59.84,5.825,75.0125,12.6332,12.11,14.96,86.43,200.595,169.59,77.5,259.03,215.755,38.26,31.785,188.49,180.83,90.77,103.82,130.645,35.98,12.945,37.21
6/10/2020 2:00,78.655,116.518,105.83,27.21,59.88,5.82,75.0125,12.605,12.12,14.97,86.43,201.02,169.595,77.59,258.03,215.905,38.41,31.845,188.45,180.455,90.79,103.89,130.73,36.05,12.975,37.37
6/10/2020 2:30,78.855,117.07,106.14,27.2499,60,5.85,75.0125,12.6199,12.12,14.9653,86.425,201.61,169.91,77.77,258.815,216.24,38.497,32.0512,188.76,181.63,90.98,104.2,130.715,36.3599,13.14,37.5801
6/10/2020 3:00,78.99,117.38,106.36,27.2583,60.12,5.855,75.0125,12.665,12.12,15,86.425,202,169.55,77.865,259.08,216.37,38.59,32.095,188.85,181.745,91.035,104.25,130.975,36.255,13.135,37.62
6/10/2020 3:30,78.86,117.46,106.3,27.23,60.08,5.89,75.0125,12.665,12.09,14.96,86.43,201.32,169.21,77.74,259.15,215.16,38.49,32,188.46,181.19,91.09,104,130.55,36.2,13.12,37.55
6/10/2020 4:00,78.86,117.46,106.3,27.23,60.08,5.89,75.3482,12.6998,12.09,14.96,86.43,201.32,169.16,77.74,259.21,215.16,38.49,32,188.46,181.17,91.09,104,130.55,36.2,13.12,37.57
6/10/2020 21:30,78.98,117.24,106.11,27.2553,60.2496,5.94,75.3482,12.791,12.1,15.035,86.4395,202.28,170.325,77.485,260.497,215.5,38.64,32.18,187.15,180.775,90.61,103.055,130.57,36.51,13.1802,37.92
6/10/2020 22:00,79.4,117.78,106.06,27.27,60.2496,5.97,75.3482,12.79,12.12,15.03,86.44,203.13,171.27,77.98,262.21,216.51,38.94,32.4434,188.71,181.18,90.69,103.33,131.977,36.8261,13.375,38.17
6/10/2020 22:30,79.36,117.43,105.949,27.2815,60.65,5.94,75.3482,12.77,12.16,15.07,86.43,203.11,171.945,77.85,261.61,216.66,38.98,32.38,189.54,180.585,90.67,103.76,132.02,37.02,13.4,38.27
6/10/2020 23:00,79.145,116.915,106.005,27.4,60.573,5.94,76.355,12.77,12.13,15,86.435,202.41,171.4,78.02,262.78,216.81,38.92,32.055,188.945,179.91,90.61,104.05,131.98,36.4689,13.195,38.04
6/10/2020 23:30,79.09,116.73,105.926,27.41,60.6183,5.955,76.355,12.73,12.145,14.9979,86.425,202.089,171.1,77.82,262.95,216.425,38.95,32.185,189.28,179.52,90.54,103.98,132.37,36.637,13.2982,37.98
7/10/2020 0:00,79.215,117.24,105.99,27.52,60.56,5.925,76.355,12.75,12.13,14.98,86.425,202.6,171.42,77.82,263.402,216.57,38.9777,32.2,190.303,179.645,90.42,104.02,132.41,36.66,13.305,37.99
7/10/2020 0:30,79.45,117.46,106.21,27.69,60.5898,5.94,76.355,12.75,12.14,14.99,86.425,203.23,171.775,77.8,263.48,216.31,39.1639,32.39,190.67,180.135,90.52,103.9779,132.095,36.83,13.36,38.18
7/10/2020 1:00,79.51,117.53,106.22,27.73,60.8,5.945,76.355,12.75,12.1427,14.99,86.42,203.18,171.68,77.93,263.39,216.585,39.16,32.31,190.88,181.22,90.675,103.82,132.475,36.697,13.33,38.12
7/10/2020 1:30,79.57,117.6,106.12,27.73,60.8,5.91,76.355,12.75,12.1497,15,86.425,203.5,171.86,78.12,263.92,217.335,39.12,32.325,191.61,182.51,90.76,103.785,132.545,36.735,13.325,38.06
